[2025-12-13 15:22:46] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 46 asig a 9 (Lote)
[2025-12-13 15:27:36] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 18 asig a 8 (Lote)
[2025-12-13 15:28:11] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 51 asig a 8 (Lote)
[2025-12-13 15:28:23] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 58 asig a 8 (Lote)
[2025-12-13 15:30:42] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 55 asig a 7 (Lote)
[2025-12-13 17:30:23] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 44 asig a 9 (Lote)
[2025-12-13 17:33:38] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 50 asig a 9 (Lote)
[2025-12-13 17:34:35] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 17 asig a 9 (Lote)
[2025-12-13 17:38:39] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 57 asig a 9 (Lote)
[2025-12-13 17:43:50] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 45 asig a 7 (Lote)
[2025-12-13 18:15:16] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 14 asig a 8 (Lote)
[2025-12-13 18:18:26] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 43 asig a 8 (Lote)
[2025-12-13 18:43:56] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 41 asig a 6 (Lote)
[2025-12-13 18:47:00] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 52 asig a 6 (Lote)
[2025-12-13 18:49:46] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 20 asig a 9 (Lote)
[2025-12-13 18:49:46] Usuario ID: 6 (SuperAdmin) | Acción: Asignar Equipo | Detalles: Equipo 21 asig a 9 (Lote)
[2025-12-13 19:06:54] Usuario ID: 6 (SuperAdmin) | Acción: Dar de Baja | Detalles: Empleado ID 7 desactivado. 2 activos pasaron a revisión.
[2025-12-13 19:38:22] Usuario ID: 6 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario ID: 8
[2025-12-13 19:38:22] Usuario ID: 6 (SuperAdmin) | Acción: Actualizar Usuario | Detalles: Usuario actualizado: Recursos Humanos
